Iteration,PI_Approximation,Error,Time(s)
1500000,3.141591986923210,0.000000666666583,0.031640000
1600000,3.141592028589844,0.000000624999949,0.032782100
1700000,3.141592065354525,0.000000588235268,0.033869000
1800000,3.141592098034220,0.000000555555573,0.035014500
1900000,3.141592127273932,0.000000526315861,0.036003700
2000000,3.141592153589724,0.000000500000069,0.037164400
2100000,3.141592177399236,0.000000476190557,0.038023100
2200000,3.141592199044291,0.000000454545503,0.038895000
2300000,3.141592218807172,0.000000434782621,0.039764500
2400000,3.141592236923153,0.000000416666640,0.040712100
2500000,3.141592253589742,0.000000400000051,0.041437100
2600000,3.141592268974325,0.000000384615468,0.042160200
2700000,3.141592283219304,0.000000370370489,0.042872900
2800000,3.141592296446855,0.000000357142938,0.043594800
2900000,3.141592308762127,0.000000344827666,0.044317600
3000000,3.141592320256374,0.000000333333420,0.045089700
